𦆁|𦝠 糸
𩯬|镸 彡 豸 里
𥜟|礻 广 黃
𤉄|豕 灬
蠡|彑 𧰨 虫 虫
𢾤|甘 匸 八 攵
悦|忄 丷 口 儿
𪖨|鼻 大 人 人
㨭|扌 戶 邑
𤉳|火 宀 示
缯|纟 丷 囗 小 曰
𩫅|高 戈
𦧉|舌 支
𧜟|亠 丷 冂 八 口 衣
𠢶|V巢 力
𤶸|疒 𠃌 V扌 阝
躺|身 ⺌ 冂 口
𢈽|广 戈 戈
𣓋|木 艹 匕 匕
𦜿|肉 𠂊 臼
𥡁|禾 必 人 小
鵃|舟 鳥
𨭊|金 𤇾 卂
𣃆|癶 一 口 䒑 斤
痈|疒 用
𠽏|口 阝 𠂊 臼
䁑|目 日 一 勿
蕓|艹 雨 二 厶
𣫸|𠂉 母 世
𡷘|山 𠮠 刂
廚|广 十 一 口 䒑 寸
鏜|金 ⺌ 冂 口 土
㝟|宀 一 目 儿
桡|木 L戈X 一 儿
𧷑|虫 氏 貝
𧧺|言 匕 匕 土
𠗨|冫 世 木
䛪|言 穴 弓
𣣓|欠 欠 欠
𡁱|口 𦣞 巳 灬
𨰾|钅 马
啳|口 V𢍏 㔾
𩽒|魚 廿 北 口 灬
陵|阝 土 八 夊
𨖨|辶 禾 夕 夕
𢷸|扌 N微X 丿 土
滺|氵 亻 丨 攵 心
𩳒|鬼 束
𥩔|穴 雨 口 口 口 工 人 人
𡤂|女 熏 力
㶅|氵 Z學X 子
𨛗|邑 阝
錆|金 青
𤌙|火 冂 二 羽
䠌|𧾷 水 冂 二
沏|氵 七 刀
𤇙|火 且
𠄒|丿 才
𥼯|米 黑
徙|彳 止 人 卜
㲮|毛 𥫗 人 一 口
瀜|氵 鬲 虫
𦉝|Z爨X 缶
𩀱|隹 隹 夂
躣|𧾷 目 目 隹
𧆰|虍 儿 子
䞩|走 人 一 口
㲯|臣 人 丶 皿 毛
鈰|金 亠 巾
𨫟|金 氵 丶 刀 丶 木
䬶|飠 艮
澹|氵 𠂊 厂 八 言
𦥞|臼 欠
𠀼|一 自 乂
𢒿|彳 㔾
𨰇|金 人 一 口 口 人 人 欠
𥗡|石 广 亻 隹 心
廃|广 発
𤩱|尸 共 𠘧 又 玉
𩕌|木 木 木 頁
獆|犭 白 大 十
𣲍|氵 一 儿
𢢶|十 一 口 䒑 欠 心
觍|典 见
𪉐|禺 鸟
㿙|疒 罒 罒 罒 大
鵚|禾 儿 鳥
䩠|革 廴 丿 土
滣|氵 辰 口
𥖙|石 口 耳 戈
𠍦|亻 丨 丨 又 貝
𢟩|忄 丰 丰 彐
𥒙|石 犭 勹 丶
蕪|艹 Z無X 灬
姭|力 力 力 女
牰|牜 由
𡛳|女 白
裷|衤 V𢍏 㔾
𢭶|手 尸 毛
䇽|𥫗 扌 斤
𦓫|攵 耒
𥄔|目 巿
笁|𥫗 工
𡪀|宀 夕 一 宀 夕 一
𧞇|衤 爫 冖 心 夊
鲄|鱼 一 亅 口
喊|口 丿 戈 一 口
𧂁|艹 單 戈
𨙬|己 阝
挑|扌 兆
𠊐|亻 勹 缶
𩫂|高 子 乚
蒔|艹 日 士 寸
创|人 㔾 刂
続|糹 士 冖 儿
𨞛|艹 曰 勹 𠃊 人 阝
𣲙|氵 水
𢪠|扌 中
𢠚|亻 人 一 月 巜 心
败|贝 攵
稫|禾 一 口 田
斪|勹 口 斤
𦣳|臣 隹 灬
龮|馬 羽 田 共
𦼸|艹 扌 高
𧑉|自 虫 虫
咴|口 𠂇 火
𢸺|扌 艹 隹 灬
戻|戶 大
𠶺|口 一 内 攴
螾|虫 宀 一 由 八
𥺡|米 阝 𠂉 也
𩛊|飠 缶
嵅|山 丿 戈 一 口
糄|米 戶 𠕁
𠩋|厂 䒑 屮
㗊|口 口 口 口
𩮣|镸 彡 止 舟
豏|一 口 䒑 兼
𩷅|魚 爿 又
𣰢|尸 婁 毛
䕕|艹 氵 曰 罒 又
擔|扌 𠂊 厂 八 言
默|黑 犬
埞|土 宀 V正
𦁑|糹 大 丷 干
浥|氵 邑
𠳤|口 止 𣥂
𤁃|氵 㒼 山
蛨|虫 一 白
𧓐|而 大 瓦 虫
𥱯|𥫗 日 士 寸
翮|鬲 羽
𥊩|目 辶 車
𨋒|車 厶 廾
𡕵|一 自 夊 八 丂
㓴|而 大 刂
轹|车 乐
𥥾|穴 口 ⺼
䑿|舟 宀 亻 一 白
柾|木 一 止
𡈆|囗 口 口 一 丂
㚉|乃 夕 夕
圈|囗 V𢍏 㔾
残|歹 戋
鐊|金 阝 日 一 勿
𥞦|禾 夫 丷
𢞂|忄 八 刀 皿
㨖|扌 至 夊
缘|纟 彑 𧰨
𡎛|土 八 刀 皿
𤨮|𤣩 帶
傝|亻 冂 二 羽
𩅛|雨 辶 夂 丰
閟|門 必
𦚱|⺼ 老
𥓮|石 勹 缶
𤸇|疒 夂 一 生
𢈦|广 夂 丰
𦜨|⺼ 止 ⺼
㮫|木 宀 丰 口
𪐪|黑 口 一
碭|石 日 一 勿
餬|飠 十 口 ⺼
𣝫|木 十 戈 隹
𦢈|⺼ 爾
𣵧|氵 言
𢎻|弓 マ 𠄐
䰺|魚 斤
悽|忄 Z妻X 女
脼|⺼ 兩
髁|骨 果
𨮫|金 車 一 巛 工
𣑉|木 自
㶷|火 勹 日
㝈|糹 糸 言 子 子
瑊|王 丿 戈 一 口
𠣍|勹 干
𤷏|疒 爫 丿 土
苑|艹 夕 㔾
𧪹|言 宀 辛
𦫢|⺌ 冂 口 色
𥈏|目 目 丿 大
𩬸|镸 彡 䒑 屮
𡱚|尸 亻 丿 廾
𣃝|方 央
兜|H卬X コ 儿 白
痟|疒 ⺌ ⺼
陞|阝 丿 廾 土
𧲐|豕 日 共 氺
𠑪|亻 口 口 頁 口 口
祬|礻 至
𡷯|山 工 人 人
勱|艹 禺 力
𥶒|𥫗 火 火 舛
𨜯|目 犬 邑
𩬕|镸 彡 丿 戈
𢱺|扌 皮 皮
慼|丿 戈 卜 一 小 心
𠗿|冫 厶 厶 厶 人 彡
𪙾|齒 虍 田 皿
鮀|魚 宀 匕
㼃|王 巤
簅|𥫗 文 厂 生
𠦌|卄 卄
𤺎|疒 臼 勹 灬
莐|艹 氵 冘
搕|扌 土 厶 皿
夗|夕 㔾
䂘|石 又 丶
鸙|龠 鳥
𧯡|夕 㔾 一 口 䒑
皞|白 白 大 十
䄧|禾 乃
蘩|艹 𠂉 母 攵 糸
𦙆|⺼ 氏
𧕳|虫 𦝠 羊
𡺮|山 厂 ⺼ 巴
厰|厂 ⺌ 冂 口 攵
邲|必 阝
㐵|亻 于
椷|木 丿 戈 一 口
𨦞|金 舟
𥿋|糹 厶 廾
𠚾|牙 刂
節|𥫗 V皀 卩
𤺞|疒 虍 业
𡅇|口 业 丷 干 耳 又
𥒠|V聿 石
噉|口 乛 耳 攵
𩳍|鬼 一 巛 工
譋|言 門 月
𢻎|卄 一 ⺼ 支
提|扌 日 V正
𪃒|P庶X 又 鳥
繙|糹 釆 田
𧩎|言 日 勿
𦅻|Z青X 糸 爰
𦋤|罒 方 𠂉 也
𠯠|口 为
䣢|耒 卄 一 日 阝
跤|𧾷 亠 父
晩|日 免
孫|子 丿 糸
𩶦|魚 𠂇 丨 土
顭|Z夢X 夕 頁
𨏼|車 艹 門 束 丷
𣏰|八 刀 木
烲|扌 斤 火
𥢨|禾 尸 子 子 子
𠹹|口 亻 人 一 𠕁
𩃕|雨 爿 木
䍻|羊 巳 巳 共
聽|耳 丿 土 㥁
𩤨|馬 亻 HX侵
𥚴|礻 頁
娄|米 女
皇|白 王
𡌊|求 土
褎|C襃X 禾
𦊨|冂 人 且
䈔|𥫗 叚
𡺗|山 手 目
𤭘|丿 臣 瓦
钛|钅 大 丶
㬚|日 𠫓 ⺼ 攵
𨆆|𧾷 支 頁
𦟛|⺼ 庸
𧰄|Z亯X 子 山 一 口 䒑
䶡|齒 貝 刂
𤴱|疒 乇
樤|木 亻 丨 攵 木
𠚧|二 刂
𢌪|廴 日 一 止
𨚒|小 丿 邑
𨱭|镸 口 丂
𥤮|穴 大
疱|疒 勹 巳
𩞉|飠 山 宀 示
𡈴|囗 𠃊 目 小 丿 糸
𢺷|巿 支
𤧞|𤣩 𦍌 大
蠸|虫 卝 隹 口 口
䄾|禾 戈 十
𣻡|氵 艹 丶 艮
鯅|魚 廴 丿 止
㩄|扌 山 田 心
𤔏|爪 丿 未
𥽠|㡭 𠃊 米
䳋|虫 鳥
𨙟|辶 艹 門 隹
楎|木 冖 車
𥄹|目 勹 巳
𩱢|𠂉 母 𠫓 V川 鬲
菕|艹 人 一 𠕁
𤲏|田 穴 九
塘|土 广 肀 口
瓛|王 虍 鬲 犬
轢|車 幺 白 幺 木
𦧯|舌 自 心
䁨|目 Z亯X 子 阝
𡳫|尸 黑 土
髯|镸 彡 冉
㥮|忄 勹 屮 勹 屮
𤩿|𤣩 艹 勹 Q匆X 心
叵|匚 口
𩨿|骨 𠂇 火
𥍨|矛 𠂊 厂 㔾
𣓭|木 氵 目
桸|木 乂 𠂇 巾
𠓻|入 王 人 一 𠕁
𤚺|牜 冂 二 羽
苿|艹 未
𢅾|巾 罒 糹 隹
徂|彳 且
𣢗|甲 欠
焉|一 止 ZX焉
𡂈|口 亻 业 䒑 夫
𩬖|镸 彡 人 彡
躌|𧾷 Z無X 舛
𢨏|世 𠕋 𢦍
𦕄|耳 斤
𧾙|走 齊
𪀓|鳥 夕 夕
䞒|赤 冂 一 口
𨧯|金 阝 𠂉 也
𡤙|女 耳 耳 耳
𣢘|申 欠
霝|雨 口 口 口
䠣|𧾷 巳 巳 共
澢|氵 ⺌ 冂 口 田
𦝰|⺼ 勹 Q匆X 心
𠄩|厶 口 二
𢂨|丿 几 丿 几 巾
庬|广 尢 丶 彡
𥀜|皮 口 亠 囗 口
瀳|氵 艹 P鹿X ZX焉
𣒟|木 厂 矢
趶|𧾷 于
𢤹|金 尸 十 口 心
𤃵|氵 日 共 言
𩜞|飠 丘 阝
䚼|言 丑
𦾐|艹 臣 人 皿
𡡃|女 穴 兆
𣿂|氵 阝 HX隋
陇|阝 龙
㝍|宀 与
位|亻 立
滌|氵 亻 丨 攵 木
𠁓|不 谷 欠
𢟒|忄 厶 ⺼ 匕 匕
巖|山 口 口 厂 乛 耳 攵
𣤥|力 力 力 貝 欠
睝|禾 𠚣 目
𡛜|女 氏 一
𤰤|田 于
賠|貝 立 口
𢡣|阝 入 一 朩 人 㣺
𪙧|齒 丿 戈 一 幺 幺
䗦|虫 辶 夂 丰
𥓽|石 止 匕 木
㻬|王 雨 一 丂
镱|钅 音 心
乷|氵 小 丿 乙
淶|氵 木 人 人
𣭕|毛 人 彡
𦉇|缶 尸 并
𠝽|刀 夕 㔾 日
𢛼|忄 卜 一 小 又
㲁|穴 工 𠘧 又
崀|山 丶 艮
禃|礻 十 Z具X
鸂|氵 爫 幺 大 鳥
𧶃|マ 𠄐 卜 貝
𠠎|广 黃 刂
䔐|艹 氵 戈 戈
憓|忄 𤰔 厶 心
蘒|艹 禾 亀
𪊕|鹿 匕 匕
龗|雨 口 口 口 龍
𧼮|走 日 一 勿
𤱛|田 禾
𣀞|虍 田 心 攴
洠|氵 厶 牛
𠦣|𠃊 口 ⺼ 十
䪥|卜 冂 一 又 貝 韭
𩑹|玄 頁
螧|虫 老 日
𩚳|飠 厶 廾
𦻜|艹 氵 世 木
𡔰|士 罒 疋
𣆳|日 更
嘲|口 H倝X 月
犵|犭 𠂉 乙
錴|金 土 八 土
𣐴|木 亻 士
𦋑|网 不 口
㵀|氵 方 人 矢
繂|糹 率
𡫅|宀 二 儿 目 火
埇|土 マ 用
郉|干 干 阝
𦬶|⺾ 𠂉 十
𩶌|魚 屮 凵
𢕐|彳 方 人 疋
晒|日 西
𠋕|亻 工 几 木
𣨰|扌 乇 歹 匕
翗|夕 夕 羽
鱖|魚 厂 䒑 屮 欠
𨊻|車 一 廾
𧋤|虫 土 厶 刀
𧘑|衤 勹 丶
𢫥|扌 丿 囗 乂
䭤|飠 辶 中 一 㠯
柧|木 瓜
葦|艹 韋
𪃩|禾 火 鳥
𩩻|骨 𠂆 十 目
鷫|肅 鳥
𩥩|馬 弓 二 弓 二
㙲|土 雍
獴|犭 艹 冂 一 豕
𠿷|口 門 亠 巾
𦕤|耳 光
䣹|酉 亻 戈
𣙻|木 艹 耳 又
藻|艹 氵 口 口 口 木
𦜾|制 肉
𨐯|尸 口 辛 八 刀
𣯁|毛 臾
𤙞|牜 匕 匕 土
𡮄|小 宀 夕 㔾
咆|口 勹 巳
醈|酉 火 火
𢴋|扌 糹 夂 ⺀
渍|氵 Z青X 贝
𧻃|走 目
𤛬|牜 罒 貝
𥠺|禾 囗 人 皿
𪃠|束 力 鳥
𠎔|亻 牛 牜 牛
粖|米 末
㕿|禾 口
𡘝|大 束
𤜛|犭 𢎘
匟|匚 亠 几
谡|讠 田 儿 夊
𦢚|⺼ 虍 田 ⺼
撦|扌 大 耂 日
𨐝|宀 㠯 辛
𥍆|目 火 火 言 又
㸭|牜 巴
笯|𥫗 女 又
𣟉|彳 一 一 亅 韋 木
𨿲|土 八 土 隹
𠲶|口 免
䦸|门 禺
誺|言 木 人 人
𢘽|忄 曳
𦫋|亠 𠃊 艮
挿|扌 𢆍
𤫴|丿 夫 瓜
屁|尸 匕 匕
饃|飠 艹 日 大
𣙷|木 艹 犬 廾
𣓆|木 爫 丿 土
燈|火 癶 一 口 䒑
𥬣|𥫗 工 刀
𠭏|山 Z吏X 又
䑑|臣 业 䒑 夫
腓|⺼ 非
𧲢|豸 乇
嫚|女 曰 罒 又
韜|韋 爫 臼
污|氵 一 丂
𦋡|罒 甘 木
𩏺|韋 目 目 隹 又
𦐐|羽 文
𨉐|身 我
𠇨|人 人 干
𥤲|穴 一 卜
䋪|糹 阝 一 亅 口
𦛓|⺼ 𦥑
𥻼|米 Q烏X 灬
𡑱|土 尹 口 羊
关|䒑 一 大
鉵|金 虫
𣩿|歹 罒 糹 隹
𣎨|月 艹 勹 Q匆X 心
𢧸|V扌 戈 屯 日
櫺|木 雨 口 口 口
𦼫|艹 虍 豕
𡴂|屮 𡳾
㦅|忄 帶
霆|雨 廴 丿 土
㭖|木 亻 弋
𩁍|罒 勹 虫 隹
䰌|镸 彡 彳 HX從
梏|木 𠂒 口
𤶬|疒 束
𠔒|八 臼
𦶢|艹 舟 亠 几
𧹘|卄 一 ZX亦
宙|宀 由
𨪮|金 巛 ⺌ ⺼
𨿃|亻 一 士 隹
琜|王 木 人 人
𡂟|口 口 口 木 勹 巳
𪌄|麥 巳
誣|言 工 人 人
𢴢|扌 十 廾 貝
𨾇|卜 隹
䎩|耒 巛 田
𩇝|冫 青 色
𦰆|艹 乃 皿
𡰬|尸 弓
㢯|弓 民
阰|阝 匕 匕
伶|亻 人 一 マ
殹|匸 矢 𠘧 又
𣝞|束 巛 果
𠐼|亻 臣 人 口 口 口
𢂿|巾 大 人 人
𦅨|彡 頁 糸
嫃|女 十 Z具X 八
睆|目 宀 二 儿
𡏉|土 宀 日 女
𩺶|魚 匕 矢 欠
跍|𧾷 十 口
𢱌|扌 力 口 木
𣨹|歹 文 厂 彡
䋓|糹 𠂊 彐
𡽖|山 角 刀 牛
㯙|木 𠫓 ⺼ 攵
𨷥|門 丿 夫 丿 夫 丿 夫
饚|飠 艹 土 厶 皿
𦆦|糹 匕 矢 マ 疋
𤹠|疒 Z青X 貝
櫣|木 艹 辶 車
𧝲|衤 虍 豕
𥋛|目 罒 勹 虫
𣴐|老 水
𢏩|𠃊 㢴
腪|⺼ 冖 車
巭|工 力 夫
𥖼|石 虍 田 心
癰|疒 巛 邑 隹
𡋳|土 日 匕
𤱾|巛 田 夬
𨳷|門 宀 匕
𦙨|⺼ 弔
𩊾|革 マ 用
䗽|糹 隹 虫
𣫫|匸 矢 𠘧 又 金 金
缁|纟 巛 田
𪕪|隹 鼠
预|マ 𠄐 页
㐇|九 乙
𧧭|言 夂 㐄
𤐖|火 木 木 示
朑|⺼ 世
𠚐|屮 凵 木
肔|⺼ 也
嘛|口 麻
禚|礻 𦍌 灬
𦶛|屮 屮 屮 屮 日
𠼡|𢏚 口 又
𢺠|扌 广 巛 邑 隹
褥|衤 辰 寸
𨉘|身 辶 斤
𥉰|目 爫 臼
縫|糹 辶 夂 丰
憪|忄 門 月
鮮|魚 羊
㜱|女 斤 斤 貝
傴|亻 匸 口 口 口
昻|日 工 卩
𤠞|犭 丿 囗 乂 匕 匕
莾|艹 大 十 廾
𧌅|虫 爫 冖 又
𢃊|𠂇 巾 𠃌 一 口
奅|大 𠂎 卩
磄|石 广 肀 口
𤜚|犭 一
𠹋|口 疒 矢
𣇊|日 不 口
𧆣|虍 凵 土
衏|彳 一 一 亅 二 儿
䅕|禾 尸 十 口
惔|忄 火 火
𩫘|高 口 ⺼
㙛|土 甫 寸
叞|尸 示 又
𨵺|門 亻 丿 糸
楥|木 爰
𠣤|勹 日 八 丂
苨|艹 尸 匕
𥰦|𥫗 P𡳐X 支
塯|土 V卯 田
篮|𥫗 Z监X 皿
𧂔|艹 士 冂 一 𠘧 又 糸
𨳭|門 片
𡅵|口 釆 罒 土 丷 干
𣃴|方 人 囗 人
譹|言 N高X 豕
𥁕|囗 人 皿
𤖫|片 几 丶
䁿|黑 犬 目
揾|扌 日 皿
𡘆|大 丷 一 丂
匈|勹 凵 乂
澋|氵 日 Z亯X 小
逊|辶 子 小
𩸃|魚 免 丶
𧏶|虫 阝 車
𧦂|言 V夨
㸖|父 且
笘|𥫗 卜 口
咝|口 丝
醟|𤇾 酉
𦣐|V⺼ 糹 糸 言
𨲱|镸 厶 厶 厶 人 㣺
𢘦|忄 叏
挨|扌 厶 矢
㾫|疒 戶 𠕁
𪀪|亻 木 鳥
粭|米 人 一 口
鴬|Z学X 鳥
𣸐|水 石 水
𣚈|木 厶 厶 厶 人 㣺
𠬸|冂 巳 又
𢞻|忄 艹 𠂇 丨 子
䠺|身 门 口
撽|扌 白 方 攵
蔼|艹 讠 曰 勹 𠃊 人
黁|麻 禾 日
𧖊|齊 虫 虫
𩿠|鳥 戉
𣍈|丰 丰 曰 䒑
灊|氵 旡 旡 鬲
𠳍|口 而 一
䧏|阝 夂 丰
蛑|虫 厶 牛
𩂹|雨 彳 𠘧 又
𧄸|艹 V興 且
𧡥|共 巳 目 儿
𡡚|睂 女
㓝|井 刂
啜|口 又 又 又 又
營|𤇾 口 丿 口
鉞|金 戉
𦡯|⺼ 辶 土 羊
𧜖|衤 十 Z具X 八
𠁪|一 士 中
絬|糹 舌
𡧯|宀 卜 一 小
囱|丿 囗 夂
鏳|金 丷 囗 小 曰
𦆒|糹 丿 囗 米 丂
𩏨|韋 雍
𢡺|爲 心
敼|十 一 口 䒑 口 攴
𠇿|丱 人
𪉾|鹵 𠂉 母 攵
龀|齿 匕
㬃|日 厶 口 火
砅|石 水
𩭹|镸 彡 厶 大 彡
䪎|革 山 隹 冂 八 口
螐|虫 Q烏X 灬
怕|忄 白
𤥯|王 口 木
崗|山 冂 䒑 山
騙|馬 戶 𠕁
𦫮|口 貝 色
𣖜|木 田 ⺼
犞|牜 丿 大 口 冂 口
𨙱|一 丂 阝
𠠥|𠂊 口 匕 匕 免 丶 刂
𤔧|𤔔 一 丂
舩|舟 八 厶
𨱆|钅 丿 戈
𥏥|矢 卜 日 十
垰|土 卜 一 一 卜
钲|钅 一 止
𣀵|糹 糸 言 攴
𩽽|鱼 宀 乇
洷|氵 至
𠊾|亻 癶 一 大
翀|羽 中
𡕇|士 口 士 口 士 口
剉|土 人 人 刂
轋|車 辶 車
𧻶|走 乂 𠂇 巾
𦸣|艹 广 卑
某|甘 木
𤦢|其 王
㵗|冫 馬 水
穙|禾 业 䒑 夫
𥥆|穴 幺 𠃌
𩁎|雨 人 一 マ 隹
𠿠|口 口 耳 戈
䳢|其 鳥
觤|角 𠂊 厂 㔾
𥵐|𥫗 大 丷 日 火
扩|扌 广
彫|V用 口 彡
鱭|魚 齊
𣗼|木 口 貝
㟰|山 冖 日 亠 八
瓲|瓦 屯
𥺝|米 V用 口
𩣮|馬 免 丶
𠩹|厂 宀 火 又
𧫕|言 Z祭X 示
䝻|貝 尸 十 口
𧋾|虫 邑
葽|艹 襾 女
𥨫|穴 𪓑
膁|⺼ 兼
𤬲|瓦 内
𤖪|片 也
昄|日 厂 又
䪇|革 艹 甫 寸
𥀀|土 羊 皮
𢼊|宀 匕 攵
𡎍|土 虍 巾
𧒃|羊 虫 虫
𧢬|土 土 土 一 儿 目 儿 目 儿
馑|饣 堇
𩌂|革 艹 厶 口
縔|糹 又 又 又 木
𢊗|广 艹 日 大
𠜚|井 刂 土
𨷛|門 宀 必 虫
贞|卜 贝
熡|火 婁
𥶾|𥫗 士 示 隶
嘤|口 贝 贝 女
㪧|人 一 口 羽 攴
𤻝|疒 宀 心 皿 一 亅
肫|⺼ 屯
𡼪|山 𥫗 人 一 口
𥘳|礻 瓦
攮|扌 Z囊X 口 口 𠀎 𧘇
䦱|門 為
𣆲|日 𠬶
𢸴|扌 門 𠂊 臼
𡊷|丰 刀 土
𩔵|木 木 女 頁
颻|V⺼ 缶 風
紾|糹 人 彡
𢇁|幺 幺 灬
𩼊|𦝠 魚
豈|山 一 口 䒑
烋|亻 木 灬
𩇣|青 𤣩 王 必
啎|𠂉 十 五 口
𣧑|歹 凵 乂
𧙢|衤 弋 工
𡹔|山 月 月
摘|扌 亠 丷 冂 十 口
䣛|木 人 氺 阝
𥒢|石 刀 刀 刀
𥺄|米 耂 子
韥|韋 士 罒 貝
𤠐|犭 冂 二 羽
籨|𥫗 人 一 口 口 人 人 欠
𢃫|巾 匚 大 人 人
𩞦|飠 ⺌ 冂 口 手
𩳬|父 月 鬼
譲|訁 亠 八 𠀎 𧘇
濵|氵 宀 𠃜 貝
呸|口 不 一
㣻|乂 心
𡵾|子 乚 山
萃|艹 亠 人 人 十
掂|扌 广 卜 口
𩊗|革 冂 一 口
䴉|罒 一 口 𧘇 鳥
𡘏|大 女 子
𥇘|目 囗 禾
鰓|魚 田 心
箒|𥫗 彐 冖 巾
𦏯|譱 言
𧐘|マ 冂 虫 丨 虫
𢔙|彳 亠 人 人 十
𧵅|貝 巴
誜|言 厶 儿 夊
𤇆|火 囗 コ
𥳄|𥫗 宀 一 由 八
琣|王 立 口
厢|厂 木 目
㴩|氵 巛 邑
𥮝|𥫗 尸 屮 凵
𩏆|韋 宀 二 曰
茭|艹 亠 父
抬|扌 厶 口
𤛒|牜 𢏚 口
䰳|魚 一 亅
𩺟|魚 亻 丨 ュ 矢
鬽|鬼 彡
窼|穴 巛 果
𡗊|夕 夕 土 土 土 一 儿
视|礻 见
𤫣|王 虍 鬲 瓦
獍|犭 音 儿
勌|V𢍏 㔾 力
𤣌|犭 Z學X 子
𣱓|Z學X 氏 一
𡯒|八 儿 日
艗|舟 䒑 八 皿
懖|金 V𠯑 心
𤞥|犭 足
𨿎|貝 隹
䭝|飠 人 一 囗 小 曰
𧁐|⺾ 宀 毌 貝
𡑣|土 穴 尸 屮 凵
𥉺|目 穴 至
驧|馬 革 勹 米
秦|Z春X 禾
𢍭|凹 厶 廾 厶 廾
𠋬|亻 目 犬
裰|衤 又 又 又 又
𧯿|十 一 口 䒑 卑
牷|牜 入 王
凶|凵 乂
𦕕|夕 㔾 耳
㭽|木 广 氏 一
𡫼|宀 工 工 工 工 大 土
䓔|艹 耂 子
愀|忄 禾 火
䖃|艹 𠂇 口 艹 𠂇 口 艹 𠂇 口
𪈂|魚 日 鳥
蚅|虫 厂 㔾
𩡗|禾 日 自 犬
𧎭|身 寸 虫
𤄃|氵 門 氵 V𠯑
㐎|文 乙
礐|Z學X 石
嶓|山 釆 田
麕|鹿 囗 禾
𪎗|麻 日
𠰞|𠂉 口 口
儠|亻 巤
㖣|口 立 口
鈢|金 木
皥|白 自 𠦂
𥅝|干 干 目
𢲆|扌 朿 攵
𣲳|氵 匚 口
𢤰|歺 又 韭 心
樲|木 弋 二 貝
亵|衣 扌 丸
𩑟|人 一 乛 頁
鎷|金 馬
𧾵|走 目 目 隹 又
𥔋|石 日 皿
𦖼|耳 骨
𩸴|魚 矢 口
𠅀|土 丷 干 丸 二 厶
䉂|𥫗 田 糸
𢛅|忄 囗 十 口
蝄|虫 冂 䒑 亠 𠃊
毇|臼 米 𠘧 又
𦽨|艹 車 亠 父
𡥐|山 人 子
婒|女 火 火
㻕|王 尸 屮 凵
齔|齒 匕
䏗|⺼ 气
𪁖|求 鳥
蓙|艹 广 土 人 人
𤵥|疒 禾
𩰑|鬥 𠂇 月
𤜺|犭 丿 止
睤|目 田 丌
寧|宀 心 皿 一 亅
鳩|九 鳥
𦮽|艹 𠂒 口
𪇫|鳥 鬼 斗
𥤓|禾 辶 自 穴 方
𠩲|厂 卑
𩍡|革 罒 一 口 𧘇
佴|亻 耳
𣏷|冂 又 木
遶|辶 土 土 土 一 儿
瓹|口 ⺼ 瓦
𨎎|車 Z亯X 子 阝
𧮔|言 㬥
𩇁|雨 田 人 丿 丨 田 人 丿 丨
𢞄|忄 土 𠂆 一 口
梆|木 丰 阝
𧗝|彳 一 一 亅 九
𣥭|止 干 干
刍|𠂊 彐
霏|雨 非
㾔|疒 口 丿 口
𥝗|禾 己
䂖|石 丶
薘|艹 辶 土 羊
𥿮|糹 弋 工
𢨝|艹 Z祭X 示 戈
漟|氵 ⺌ 冂 口 土
𨊚|身 石 石 石
墦|土 釆 田
鶨|彑 𧰨 鳥
𠈭|亻 宀 牛
䜯|谷 勹 米
蠱|虫 虫 虫 皿
𩷉|魚 亦
𣱈|民 巴
疸|疒 日 一
𡨽|宀 小 丿 目
𩐟|音 亠 父
弿|𡨄 弓
恁|亻 一 士 心
𪕃|鼠 方
𧽊|走 山 一 口 䒑
𦡷|⺼ 业 丷 干 一 寸
𠣆|𦥑 丿 囗 乂 一 火 力
𤷈|疒 大 示
𨻊|阝 大 人 人 土
㝏|宀 人 丿 丨
𪉌|求 鸟
硑|石 并
𥡞|𥝌 尢 丶 匕 日
𩚢|飠 互
𤛏|牜 虍 且
𨻸|阝 羽 白
𨻍|阝 屮 凵 示
𢗘|忄 勿
曚|日 艹 冂 一 豕
𥎤|矛 Z爨X 𤍾
偡|亻 甘 匸 八
𨧑|金 爫 工
镣|钅 大 丷 日 小
𣼧|氵 率
𥓗|石 厶 厶 厶 二
绪|纟 耂 日
菬|艹 氵 刀 口
𢡱|士 冂 一 𠘧 又 几 心
浳|氵 弋 月
𦭒|艹 一 止
𡗸|大 乍
固|囗 十 口
鯼|魚 凵 乂 儿 夊
𨙳|又 丶 阝
𠖅|冖 𠂇 月
𧬀|言 厶 厶 厶 糸
辉|光 冖 车
瀌|氵 鹿 灬
咏|口 永
㤒|忄 大 十
𡶕|疋 山
茖|艹 夂 口
枙|木 厂 㔾
𩲅|鬼 寸
𥃘|Z爨X 火 皿
𨓨|辶 角
䠜|𧾷 艹 耳
𢲟|宀 辛 扌
𡄢|口 門 耂 日
鬦|鬥 斗
義|𦍌 我
𧝹|𦝠 衣
𠒯|肉 臼 儿
躳|身 口 丿 口
𧮪|讠 卜 口
猶|犭 丷 酉
垹|土 丰 阝
𤨵|𤣩 厶 厶 厶 人 彡
𩵞|魚 丿 十
𩆦|雨 二 厶 Z曹X 曰
㠼|巾 斤
艀|舟 爫 子
曃|日 辶 隶
𩜶|飠 人 一 月 刂
䭆|臣 人 食
𢿉|白 小 彡 攴
𨢍|酉 老 日
𨼩|阝 十 一 口 䒑 口
𡁌|口 骨 欠
𨧞|金 辶 卬
驐|馬 Z亯X 子 攵
结|纟 士 口
𠟙|雨 二 厶 刂
𥉁|目 目 大 丿 丨
觝|角 氏 一
